fold,state,target,n,MAE,RMSE,bias
2024/2025,Akwa Ibom,cases,52,8849.439118944752,20423.130552115406,-5741.722770518467
2024/2025,Akwa Ibom,hospitalizations,52,145.87722339654263,314.7226875446335,-71.27740238554836
2024/2025,Akwa Ibom,deaths,52,15.890233029385515,45.35704676322131,-4.91195170866579
2024/2025,Edo,cases,52,8966.992990257011,20296.483724512123,-5417.0712843203655
2024/2025,Edo,hospitalizations,52,171.2342189000322,382.17256865988594,-113.60357454199854
2024/2025,Edo,deaths,52,13.444148873557177,31.37175532789918,-4.071317045360437
2024/2025,Ondo,cases,52,9430.08786525515,24121.742392981458,-6448.933921664624
2024/2025,Ondo,hospitalizations,52,190.49197724315667,470.6772324320245,-77.23454760820172
2024/2025,Ondo,deaths,52,11.784382358590815,31.11698307758706,-4.832989903262817
2024/2025,Zamfara,cases,52,10137.307536544367,19897.02628865915,-6148.862830620297
2024/2025,Zamfara,hospitalizations,52,109.00731391791325,225.15180702985393,-65.67984166180788
2024/2025,Zamfara,deaths,52,22.001243016854968,51.67720994247206,-13.977314376876281
2024/2025,Plateau,cases,52,10262.535808483302,23142.292013869217,-7228.482900970567
2024/2025,Plateau,hospitalizations,52,149.3532398297857,312.0447079577485,-79.08582355783577
2024/2025,Plateau,deaths,52,13.448760331072547,28.695886853462184,-6.9082275588245645
2024/2025,Enugu,cases,52,8084.344904162028,18653.22138659619,-4297.328530595725
2024/2025,Enugu,hospitalizations,52,168.99649860419015,372.2975941540525,-68.79556519089817
2024/2025,Enugu,deaths,52,9.453506368616999,20.92635476836001,-3.4244731951935354
2024/2025,Adamawa,cases,52,9026.068031231052,19930.94735612107,-5656.2314795899965
2024/2025,Adamawa,hospitalizations,52,160.72028985498986,349.57298765805155,-91.62219186713854
2024/2025,Adamawa,deaths,52,14.849734939024756,35.92032439084656,-9.884679496531469
2024/2025,Kogi,cases,52,10704.526519788471,23722.27005648764,-5951.096296854671
2024/2025,Kogi,hospitalizations,52,142.86035015708623,312.2941276289602,-104.21292283184289
2024/2025,Kogi,deaths,52,13.682311510629905,26.52242195664479,-4.662401807878182
2024/2025,Abia,cases,52,9271.763783856331,23082.81270041087,-3842.861839184824
2024/2025,Abia,hospitalizations,52,113.17070259719074,250.38026072848032,-54.94387853567707
2024/2025,Abia,deaths,52,9.560430865634192,18.12020668371348,-2.881299037248294
2024/2025,FCT,cases,52,8273.913374938324,17754.279145399,-4856.697623844441
2024/2025,FCT,hospitalizations,52,167.67821983399125,352.141434881064,-64.845343292258
2024/2025,FCT,deaths,52,8.730158879276644,19.100968256026597,-4.439239705897139
2024/2025,Gombe,cases,52,9585.09540437984,20849.11092682752,-7089.498096612507
2024/2025,Gombe,hospitalizations,52,117.14163822236793,254.62387115215134,-70.56119270542555
2024/2025,Gombe,deaths,52,12.512713753993637,25.286328088636054,-6.950333788854087
2024/2025,Yobe,cases,52,8570.690821346729,18286.43527950153,-5054.547493447211
2024/2025,Yobe,hospitalizations,52,93.8208196342383,217.12643927168972,-66.70713458643222
2024/2025,Yobe,deaths,52,14.291686910735097,33.771383323067326,-9.889130501999038
2024/2025,Taraba,cases,52,7269.571961824457,16013.801468727524,-2714.235143043949
2024/2025,Taraba,hospitalizations,52,90.40868200277353,189.0069862385683,-32.76941536778974
2024/2025,Taraba,deaths,52,16.31437856034193,36.752710896898556,-11.371990001795622
2024/2025,Kwara,cases,52,6942.523683281583,14759.643385156796,-4459.256209509876
2024/2025,Kwara,hospitalizations,52,115.44475235448698,240.86901769952445,-62.07225762625402
2024/2025,Kwara,deaths,52,11.466612813516933,23.756058436868287,-4.527505149559182
2024/2025,Osun,cases,52,8724.03094617064,22469.47438320651,-6122.096677461823
